PROYECTO:TESIS-ESCALAMIENTO_DE_SEÑALES_SISMICAS_EN_MUELLES
AUTOR: ING. JUAN CARLOS PANTOJA
ARCHIVO: MUELLE 20:1 - 323
DESCRIPCIÓN: MASA TOTAL SIN MASA DE PILOTES
RECUENTO: 2751 ELTOS


240,0,1.75,11.7058,11.7058,0,0,0,0
242.5,0,1.75,6.4271,6.4271,0,0,0,0
245,0,1.75,6.4271,6.4271,0,0,0,0
247.5,0,1.75,11.7058,11.7058,0,0,0,0
250,0,1.75,6.4271,6.4271,0,0,0,0
252.5,0,1.75,6.4271,6.4271,0,0,0,0
255,0,1.75,11.7058,11.7058,0,0,0,0
257.5,0,1.75,6.4271,6.4271,0,0,0,0
260,0,1.75,6.4271,6.4271,0,0,0,0
262.5,0,1.75,11.7058,11.7058,0,0,0,0
265,0,1.75,6.4271,6.4271,0,0,0,0
267.5,0,1.75,6.4271,6.4271,0,0,0,0
270,0,1.75,11.7058,11.7058,0,0,0,0
272.5,0,1.75,6.4271,6.4271,0,0,0,0
275,0,1.75,6.4271,6.4271,0,0,0,0
277.5,0,1.75,11.7058,11.7058,0,0,0,0
280,0,1.75,6.4271,6.4271,0,0,0,0
282.5,0,1.75,6.4271,6.4271,0,0,0,0
285,0,1.75,11.7058,11.7058,0,0,0,0
287.5,0,1.75,6.4271,6.4271,0,0,0,0
290,0,1.75,6.4271,6.4271,0,0,0,0
292.5,0,1.75,11.7058,11.7058,0,0,0,0
295,0,1.75,6.4271,6.4271,0,0,0,0
297.5,0,1.75,6.4271,6.4271,0,0,0,0
300,0,1.75,11.7058,11.7058,0,0,0,0
302.5,0,1.75,6.4271,6.4271,0,0,0,0
305,0,1.75,6.4271,6.4271,0,0,0,0
307.5,0,1.75,11.7058,11.7058,0,0,0,0
310,0,1.75,6.4271,6.4271,0,0,0,0
312.5,0,1.75,6.4271,6.4271,0,0,0,0
315,0,1.75,11.7058,11.7058,0,0,0,0
317.5,0,1.75,5.1417,5.1417,0,0,0,0
319,0,1.75,1.9281,1.9281,0,0,0,0
-4,3.05,1.75,3.8562,3.8562,0,0,0,0
-2.5,3.05,1.75,10.2833,10.2833,0,0,0,0
0,3.05,1.75,20.5375,20.5375,0,0,0,0
2.5,3.05,1.75,12.8541,12.8541,0,0,0,0
5,3.05,1.75,12.8541,12.8541,0,0,0,0
7.5,3.05,1.75,20.5375,20.5375,0,0,0,0
10,3.05,1.75,12.8541,12.8541,0,0,0,0
12.5,3.05,1.75,12.8541,12.8541,0,0,0,0
15,3.05,1.75,20.5375,20.5375,0,0,0,0
17.5,3.05,1.75,12.8541,12.8541,0,0,0,0
20,3.05,1.75,12.8541,12.8541,0,0,0,0
22.5,3.05,1.75,20.5375,20.5375,0,0,0,0
25,3.05,1.75,12.8541,12.8541,0,0,0,0
27.5,3.05,1.75,12.8541,12.8541,0,0,0,0
30,3.05,1.75,20.5375,20.5375,0,0,0,0
32.5,3.05,1.75,12.8541,12.8541,0,0,0,0
35,3.05,1.75,12.8541,12.8541,0,0,0,0
37.5,3.05,1.75,20.5375,20.5375,0,0,0,0
40,3.05,1.75,12.8541,12.8541,0,0,0,0
42.5,3.05,1.75,12.8541,12.8541,0,0,0,0
45,3.05,1.75,20.5375,20.5375,0,0,0,0
47.5,3.05,1.75,12.8541,12.8541,0,0,0,0
50,3.05,1.75,12.8541,12.8541,0,0,0,0
52.5,3.05,1.75,20.5375,20.5375,0,0,0,0
55,3.05,1.75,12.8541,12.8541,0,0,0,0
57.5,3.05,1.75,12.8541,12.8541,0,0,0,0
60,3.05,1.75,20.5375,20.5375,0,0,0,0
62.5,3.05,1.75,12.8541,12.8541,0,0,0,0
65,3.05,1.75,12.8541,12.8541,0,0,0,0
67.5,3.05,1.75,20.5375,20.5375,0,0,0,0
70,3.05,1.75,12.8541,12.8541,0,0,0,0
72.5,3.05,1.75,12.8541,12.8541,0,0,0,0
75,3.05,1.75,20.5375,20.5375,0,0,0,0
77.5,3.05,1.75,12.8541,12.8541,0,0,0,0
80,3.05,1.75,12.8541,12.8541,0,0,0,0
82.5,3.05,1.75,20.5375,20.5375,0,0,0,0
85,3.05,1.75,12.8541,12.8541,0,0,0,0
87.5,3.05,1.75,12.8541,12.8541,0,0,0,0
90,3.05,1.75,20.5375,20.5375,0,0,0,0
92.5,3.05,1.75,12.8541,12.8541,0,0,0,0
95,3.05,1.75,12.8541,12.8541,0,0,0,0
97.5,3.05,1.75,20.5375,20.5375,0,0,0,0
100,3.05,1.75,12.8541,12.8541,0,0,0,0
102.5,3.05,1.75,12.8541,12.8541,0,0,0,0
105,3.05,1.75,20.5375,20.5375,0,0,0,0
107.5,3.05,1.75,12.8541,12.8541,0,0,0,0
110,3.05,1.75,12.8541,12.8541,0,0,0,0
112.5,3.05,1.75,20.5375,20.5375,0,0,0,0
115,3.05,1.75,12.8541,12.8541,0,0,0,0
117.5,3.05,1.75,12.8541,12.8541,0,0,0,0
120,3.05,1.75,20.5375,20.5375,0,0,0,0
122.5,3.05,1.75,12.8541,12.8541,0,0,0,0
125,3.05,1.75,12.8541,12.8541,0,0,0,0
127.5,3.05,1.75,20.5375,20.5375,0,0,0,0
